Tiempo,ID,PosX,PosY,Masa,Activa
1.28,4,72.08,79.2025,2.5,1
1.29,1,29.35,20.34,2,1
1.29,2,81.5873,26.2164,3,1
1.29,3,22.175,70.65,1.5,1
1.29,4,71.94,79.285,2.5,1
1.3,1,29.5,20.25,2,1
1.3,2,81.7237,26.2895,3,1
1.3,3,22.0925,70.5,1.5,1
1.3,4,71.8,79.3675,2.5,1
1.31,1,29.65,20.16,2,1
1.31,2,81.8602,26.3626,3,1
1.31,3,22.01,70.35,1.5,1
1.31,4,71.66,79.45,2.5,1
1.32,1,29.8,20.07,2,1
1.32,2,81.9967,26.4357,3,1
1.32,3,21.9275,70.2,1.5,1
1.32,4,71.52,79.5325,2.5,1
1.33,1,29.95,19.98,2,1
1.33,2,82.1331,26.5088,3,1
1.33,3,21.845,70.05,1.5,1
1.33,4,71.38,79.615,2.5,1
1.34,1,30.1,19.89,2,1
1.34,2,82.2696,26.5818,3,1
1.34,3,21.7625,69.9,1.5,1
1.34,4,71.24,79.6975,2.5,1
1.35,1,30.25,19.8,2,1
1.35,2,82.406,26.6549,3,1
1.35,3,21.68,69.75,1.5,1
1.35,4,71.1,79.78,2.5,1
1.36,1,30.4,19.71,2,1
1.36,2,82.5425,26.728,3,1
1.36,3,21.5975,69.6,1.5,1
1.36,4,70.96,79.8625,2.5,1
1.37,1,30.55,19.62,2,1
1.37,2,82.679,26.8011,3,1
1.37,3,21.515,69.45,1.5,1
1.37,4,70.82,79.945,2.5,1
1.38,1,30.7,19.53,2,1
1.38,2,82.8154,26.8742,3,1
1.38,3,21.4325,69.3,1.5,1
1.38,4,70.68,80.0275,2.5,1
1.39,1,30.85,19.44,2,1
1.39,2,82.9519,26.9473,3,1
1.39,3,21.35,69.15,1.5,1
1.39,4,70.54,80.11,2.5,1
1.4,1,31,19.35,2,1
1.4,2,83.0883,27.0204,3,1
1.4,3,21.2675,69,1.5,1
1.4,4,70.4,80.1925,2.5,1
1.41,1,31.15,19.26,2,1
1.41,2,83.2248,27.0935,3,1
1.41,3,21.185,68.85,1.5,1
1.41,4,70.26,80.275,2.5,1
1.42,1,31.3,19.17,2,1
1.42,2,83.3613,27.1666,3,1
1.42,3,21.1025,68.7,1.5,1
1.42,4,70.12,80.3575,2.5,1
1.43,1,31.45,19.08,2,1
1.43,2,83.4977,27.2397,3,1
1.43,3,21.02,68.55,1.5,1
1.43,4,69.98,80.44,2.5,1
1.44,1,31.6,18.99,2,1
1.44,2,83.6342,27.3128,3,1
1.44,3,20.9375,68.4,1.5,1
1.44,4,69.84,80.5225,2.5,1
1.45,1,31.75,18.9,2,1
1.45,2,83.7706,27.3859,3,1
1.45,3,20.855,68.25,1.5,1
1.45,4,69.7,80.605,2.5,1
1.46,1,31.9,18.81,2,1
1.46,2,83.9071,27.459,3,1
1.46,3,20.7725,68.1,1.5,1
1.46,4,69.56,80.6875,2.5,1
1.47,1,32.05,18.72,2,1
1.47,2,84.0436,27.5321,3,1
1.47,3,20.69,67.95,1.5,1
1.47,4,69.42,80.77,2.5,1
1.48,1,32.2,18.63,2,1
1.48,2,84.18,27.6052,3,1
1.48,3,20.6075,67.8,1.5,1
1.48,4,69.28,80.8525,2.5,1
1.49,1,32.35,18.54,2,1
1.49,2,84.3165,27.6783,3,1
1.49,3,20.525,67.65,1.5,1
1.49,4,69.14,80.935,2.5,1
1.5,1,32.5,18.45,2,1
1.5,2,84.4529,27.7514,3,1
1.5,3,20.4425,67.5,1.5,1
1.5,4,69,81.0175,2.5,1
1.51,1,32.65,18.36,2,1
1.51,2,84.5894,27.8245,3,1
1.51,3,20.36,67.35,1.5,1
1.51,4,68.86,81.1,2.5,1
1.52,1,32.8,18.27,2,1
1.52,2,84.7259,27.8976,3,1
1.52,3,20.2775,67.2,1.5,1
1.52,4,68.72,81.1825,2.5,1
1.53,1,32.95,18.18,2,1
1.53,2,84.8623,27.9707,3,1
1.53,3,20.195,67.05,1.5,1
1.53,4,68.58,81.265,2.5,1
1.54,1,33.1,18.09,2,1
1.54,2,84.9988,28.0438,3,1
1.54,3,20.1125,66.9,1.5,1
1.54,4,68.44,81.3475,2.5,1
1.55,1,33.25,18,2,1
1.55,2,85.1352,28.1169,3,1
1.55,3,20.03,66.75,1.5,1
1.55,4,68.3,81.43,2.5,1
1.56,1,33.4,17.91,2,1
1.56,2,85.2717,28.19,3,1
1.56,3,19.9475,66.6,1.5,1
1.56,4,68.16,81.5125,2.5,1
1.57,1,33.55,17.82,2,1
1.57,2,85.4082,28.2631,3,1
1.57,3,19.865,66.45,1.5,1
1.57,4,68.02,81.595,2.5,1
1.58,1,33.7,17.73,2,1
1.58,2,85.5446,28.3362,3,1
1.58,3,19.7825,66.3,1.5,1
1.58,4,67.88,81.6775,2.5,1
1.59,1,33.85,17.64,2,1
1.59,2,85.6811,28.4093,3,1
1.59,3,19.7,66.15,1.5,1
1.59,4,67.74,81.76,2.5,1
1.6,1,34,17.55,2,1
1.6,2,85.8175,28.4824,3,1
1.6,3,19.6175,66,1.5,1
1.6,4,67.6,81.8425,2.5,1
1.61,1,34.15,17.46,2,1
1.61,2,85.954,28.5555,3,1
1.61,3,19.535,65.85,1.5,1
1.61,4,67.46,81.925,2.5,1
1.62,1,34.3,17.37,2,1
1.62,2,86.0905,28.6286,3,1
1.62,3,19.4525,65.7,1.5,1
1.62,4,67.32,82.0075,2.5,1
1.63,1,34.45,17.28,2,1
1.63,2,86.2269,28.7017,3,1
1.63,3,19.37,65.55,1.5,1
